Date,Model,Device,Type,TPT,FPT,CPT,ACMDR,SCT,AIT,SIM,NIGHT,HLL,LLL,P,6.0,F,1,2.0,A,B,Record,T&R,Role,Sorties,NT,SIT,IPT,NVG,Mission Code,CAT/JATO,Remarks,DayLdg,NPS,PS,NightLdg,NPA,PA,ShipArrest,Time,Approaches,PIC,SIC
2014-03-19 00:00:00,KC-130J,2F199-3,Simulator,2.5,1.2,1.3,,,,,,,,,,,,,,,9af1b4ae,"2201, 3704, 3702, 3703, 3705, 6120",COPILOT,1,,,,,,,,,,,,,,,,,,2.5
2014-03-23 00:00:00,KC-130J,167927,Aircraft,4.4,2.1,2.3,,0.5,,0.3,,,,,,,,,,,GL312NY,,COPILOT,1,,,,,,,,,,,,,,,,,,4.4
2014-03-26 00:00:00,KC-130J,2F199-3,Simulator,2.0,1.0,1.0,,,,,,,,4.0,,,,,,,aefb0814,"3550, 2151, 2150, 2250, 6120, 2251",COPILOT,1,,,,,,,,,,,,,,,,,,2.0
2014-03-27 00:00:00,KC-130J,2F199-3,Simulator,2.0,1.0,1.0,,,,,,,,,1.0,,,,,,8e7adb6e,"2201, 2400, 3501, 6120",COPILOT,1,,,,,,,,,,,,,,,,,,2.0
2014-04-11 00:00:00,KC-130J,165957,Aircraft,4.2,2.1,2.1,,,,0.3,,,,,,,,,,,GL312QJ,2162,COPILOT,1,,,,,,,,,,,,,,,,,,4.2
2014-04-13 00:00:00,KC-130J,165957,Aircraft,4.5,2.2,2.3,,,,,,,,,,,,,,,GL312QM,2162,COPILOT,1,,,,,,,,,,,,,,,,,,4.5
2014-04-16 00:00:00,KC-130J,168065,Aircraft,6.1,3.1,3.0,,3.0,3.0,0.3,0.5,,,,1.0,,,,,,GL312QU,2162,COPILOT,1,,,,,,,,,,,,,,,,,,6.1
2014-04-21 00:00:00,KC-130J,2F199-3,Simulator,1.5,0.7,0.8,,,,,,,,,,,,,,,f396f605,,COPILOT,1,,,,,,,,,,,,,,,,,,1.5
2014-04-23 00:00:00,KC-130J,167983,Aircraft,6.5,3.2,3.3,,,0.5,,,,,,1.0,,,,,,GL312RS,"3600, 2300",COPILOT,1,,,,,,,,,,,,,,,,,,6.5
2014-04-25 00:00:00,KC-130J,167927,Aircraft,8.8,4.4,4.4,,,,0.3,1.0,,,,,1.0,,,1.0,,GL312S4,2162,COPILOT,1,,,,,,,,,,,,,,,,,,8.8
2014-04-26 00:00:00,KC-130J,167927,Aircraft,3.1,1.5,1.6,,,,0.3,,,,,,,,,,,GL312S5,,COPILOT,1,,,,,,,,,,,,,,,,,,3.1
2014-04-30 00:00:00,KC-130J,167923,Aircraft,4.3,2.1,2.2,,,,0.3,,,,,1.0,,,,1.0,,GL312SF,"2300, 4200, 2162, 3601",COPILOT,1,,,,,,,,,,,,,,,,,,4.3
2014-05-01 00:00:00,KC-130J,167923,Aircraft,11.8,5.9,5.9,,,2.0,0.4,3.5,,,,,,,,,,GL312SL,2162,COPILOT,1,,,,,,,,,,,,,,,,,,11.8
